report_id,DESCRIPTION,OFFENSE_DATE,LOCATION
222054618,TOWED MOTOR VEHICLE,2009-07-21 12:00:00,DORCHESTER AVE
222054617,PROPERTY - FOUND,2009-07-21 12:30:00,HYDE PARK AVE
222054616,VANDALISM,2009-07-21 11:15:00,MASSACHUSETTS AVE
222054615,SICK ASSIST,2009-07-21 12:02:00,MANSFIELD ST
222054614,M/V ACCIDENT - PROPERTY DAMAGE,2009-07-21 12:17:00,"CAMBRIDGE ST & HARVARD AVE
BRIGHTON  MA 02134
UNIT"
222054613,VERBAL DISPUTE,2009-07-21 11:53:00,HARRISON AVE
222054610,SUDDEN DEATH,2009-07-21 12:26:00,COURT ST
222054609,MISSING PERSON,2009-07-18 07:00:00,WASHINGTON ST
222054607,HARASSMENT/ CRIMINAL HARASSMENT,2009-07-21 11:44:00,MASSACHUSETTS AVE
222054606,PROPERTY - LOST/ MISSING,2009-07-21 12:09:00,TALBOT AVE
222054605,SICK ASSIST,2009-07-21 11:25:00,UNION AVE
222054604,INVESTIGATE PERSON,2009-07-21 12:01:00,WASHINGTON ST
222054601,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-21 11:33:00,HUDSON ST
222054600,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,2009-07-21 11:36:00,HARRISON AVE
222054598,OTHER OFFENSE,2009-07-21 10:34:00,BURBANK ST
222054596,TOWED MOTOR VEHICLE,2009-07-21 11:37:00,BOWDOIN ST
222054595,M/V ACCIDENT - OTHER,2009-07-21 10:55:00,"HUNTINGTON AVE & S HUNTINGTON AVE
ROXBURY  MA 0211"
222054592,INVESTIGATE PERSON,2009-07-21 09:44:00,ELLET ST
222054591,ROBBERY,2009-07-21 11:19:00,WASHINGTON ST
222054590,TOWED MOTOR VEHICLE,2009-07-21 09:31:00,BLUE LEDGE DR
222054589,INVESTIGATE PERSON,2009-07-21 10:37:00,HANNON ST
222054585,THREATS TO DO BODILY HARM,2009-07-21 10:40:00,GIBSON ST
222054584,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 10:55:00,HARRISON AVE
222054583,M/V - LEAVING SCENE - PERSONAL INJURY,2009-07-21 10:22:00,WASHINGTON ST
222054582,TOWED MOTOR VEHICLE,2009-07-21 08:03:00,SALEM ST
222054579,SICK ASSIST,2009-07-21 08:54:00,FULLER ST
222054578,TOWED MOTOR VEHICLE,2009-07-21 09:37:00,ADAMS ST
222054577,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),2009-07-21 09:33:00,LONG AVE
222054575,LARCENY ALL OTHERS,2009-07-21 10:25:00,W FOURTH ST
222054574,THREATS TO DO BODILY HARM,2009-07-21 09:34:00,CLEAVES ST
222054573,INVESTIGATE PERSON,2009-07-21 09:28:00,HOSMER ST
222054571,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,2009-07-21 10:02:00,WASHINGTON ST
222054570,THREATS TO DO BODILY HARM,2009-07-21 09:09:00,HUNTINGTON AVE
222054565,ASSAULT - SIMPLE,2009-07-20 16:30:00,HYDE PARK AVE
222054563,MISSING PERSON - LOCATED,2009-07-21 08:54:00,COPELAND ST
222054561,ASSAULT - SIMPLE,2009-07-20 11:30:00,GIBSON ST
222054560,PROPERTY - LOST/ MISSING,2009-07-17 00:00:00,GIBSON ST
222054559,TOWED MOTOR VEHICLE,2009-07-21 07:34:00,SAGAMORE ST
222054558,TOWED MOTOR VEHICLE,2009-07-21 07:14:00,"EVERETT ST & HARVESTER ST
BRIGHTON  MA 02134
UNITE"
222054557,SICK ASSIST,2009-07-21 07:53:00,BLUE LEDGE DR
222054556,INVESTIGATE PERSON,2009-07-21 08:28:00,E CONCORD ST
222054555,THREATS TO DO BODILY HARM,2009-07-21 08:21:00,BLUE HILL AVE
222054554,FRAUD - IMPERSONATION,2009-07-11 00:00:00,GIBSON ST
222054553,VERBAL DISPUTE,2009-07-21 08:20:00,SOUTHAMPTON ST
222054551,LARCENY THEFT FROM BUILDING,2009-07-21 08:00:00,SUDBURY ST
222054550,TOWED MOTOR VEHICLE,2009-07-21 06:09:00,COREY RD
222054548,VANDALISM,2009-07-21 06:26:00,RIVER ST
222054546,ASSAULT - SIMPLE,2009-07-21 00:00:00,E BROOKLINE ST
222054544,VANDALISM,2009-07-21 05:12:00,WASHINGTON ST
222054543,INVESTIGATE PERSON,2009-07-21 05:05:00,COMMONWEALTH AVE
222054542,VAL - VIOLATION OF AUTO LAW,2009-07-21 01:43:00,"BLUE HILL AVE & ABBOT ST
DORCHESTER  MA 02124
UNIT"
222054540,INVESTIGATE PERSON,2009-07-21 03:24:00,ALBANY ST
222054539,INVESTIGATE PROPERTY,2009-07-21 03:42:00,WEBSTER ST
222054538,INVESTIGATE PERSON,2009-07-20 22:00:00,GIBSON STREET
222054536,ASSAULT - SIMPLE,2009-07-21 02:46:00,BOYLSTON ST
222054534,ASSAULT - SIMPLE,2009-07-21 02:30:00,CENTRE ST
222054529,ASSAULT - SIMPLE,2009-07-21 00:05:00,WASHINGTON ST
222054528,LARCENY ALL OTHERS,2009-07-20 21:30:00,"MASSACHUSETTS AVE & TREMONT ST
BOSTON  MA 02118
UN"
222054527,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-21 01:10:00,KING ST
222054525,MISSING PERSON,2009-07-20 22:00:00,GLENDALE ST
222054524,HARASSMENT/ CRIMINAL HARASSMENT,2009-07-20 22:42:00,BEVERLY ST
222054523,LARCENY THEFT OF BICYCLE,2009-07-21 00:05:00,HOWELL ST
222054522,INVESTIGATE PERSON,2009-07-20 23:50:00,MARINA PARK DR
222054521,INVESTIGATE PERSON,2009-07-21 00:15:00,MARION ST
222054519,SICK ASSIST - DRUG RELATED ILLNESS,2009-07-21 00:05:00,DALTON ST
222054518,SICK ASSIST,2009-07-20 23:35:00,NEW CHARDON ST
222054515,ROBBERY,2009-07-20 23:07:00,"QUINCY ST & BLUE HILL AVE
ROXBURY  MA 02121
UNITED"
222054514,INVESTIGATE PROPERTY,2009-07-20 22:28:00,IRMA ST
222054513,SICK ASSIST,2009-07-20 23:04:00,E SECOND ST
222054510,M/V ACCIDENT - PERSONAL INJURY,2009-07-20 23:57:00,"NEW CHARDON ST & N WASHINGTON ST
BOSTON  MA 02114"
222054509,SICK ASSIST,2009-07-20 22:50:00,CAMELOT CT
222054508,INVESTIGATE PERSON,2009-07-20 23:02:00,BLUE HILL AVE
222050407,MISSING PERSON,2009-07-04 00:00:00,SUDBURY ST
222054506,AUTO THEFT - MOTORCYCLE / SCOOTER,2009-07-20 22:16:00,WOODLEY AVE
222054505,INVESTIGATE PERSON,2009-07-20 22:27:00,E COTTAGE ST
222054504,MISSING PERSON,2009-07-20 22:05:00,FANEUIL ST
222054502,ASSAULT - AGGRAVATED,2009-07-20 22:11:00,E BROOKLINE ST
222054499,INVESTIGATE PERSON,2009-07-20 22:20:00,HYDE PARK AVE
222054498,SICK ASSIST,2009-07-20 22:05:00,SAVIN HILL AVE
222054496,INVESTIGATE PERSON,2009-07-20 20:29:00,MIAMI AVE
222054493,TOWED MOTOR VEHICLE,2009-07-20 20:30:00,GOVE ST
222054492,TOWED MOTOR VEHICLE,2009-07-20 22:15:00,W FOURTH ST
222054491,INVESTIGATE PERSON,2009-07-20 21:35:00,GIBSON ST
222054490,TOWED MOTOR VEHICLE,2009-07-20 22:14:00,SYDNEY STREET
222054489,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,2009-07-20 19:47:00,MASSACHUSETTS AVE
222054488,INVESTIGATE PERSON,2009-07-20 00:00:00,MASSACHUSETTS AVE
222054486,INVESTIGATE PERSON,2009-07-20 21:00:00,SPECTACLE ISLAND
222054485,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-20 22:25:00,GIBSON ST
222054484,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,2009-07-20 21:35:00,COLUMBIA RD
222054483,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-20 00:00:00,W BROADWAY
222054481,ASSAULT - SIMPLE,2009-07-20 21:27:00,SOUTHAMPTON ST
222054480,FIRE REPORT,2009-07-20 18:13:00,"CALUMET ST & PARKER HILL AVE
ROXBURY  MA 02120
UNI"
222054477,SICK ASSIST,2009-07-20 17:16:00,CENTRE ST
222054476,INVESTIGATE PERSON,2009-07-20 19:15:00,STUART ST
222054475,HARASSMENT/ CRIMINAL HARASSMENT,2009-07-20 21:50:00,MARCELLA ST
222054474,AUTO THEFT,2009-07-20 21:52:00,DORCHESTER AVE
222054473,INVESTIGATE PERSON,2009-07-20 21:29:00,PORTLAND ST
222054470,SICK ASSIST,2009-07-20 20:26:00,GROVE TER
222054469,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,2009-07-20 18:36:00,HUDSON ST
222054468,INVESTIGATE PERSON,2009-07-20 21:18:00,BLUE HILL AVE
222054467,LARCENY ALL OTHERS,2009-07-20 12:00:00,HYDE PARK AVE
222054466,LARCENY SHOPLIFTING,2009-07-19 20:30:00,CAMBRIDGE ST
222054464,MISSING PERSON - NOT REPORTED - LOCATED,2009-07-20 20:11:00,HORAN WAY
222054463,INVESTIGATE PERSON,2009-07-20 20:27:00,BLUE HILL AVE
222054462,M/V ACCIDENT - PERSONAL INJURY,2009-07-20 20:30:00,"BROWN AVE & CUMMINS HWY
ROSLINDALE  MA 02131
UNITE"
222054461,ASSAULT - AGGRAVATED,2009-07-20 19:49:00,"PARK ST & TREMONT ST
BOSTON  MA 02108
UNITED STATE"
222054460,INVESTIGATE PROPERTY,2009-07-20 20:51:00,LITHGOW ST
222054459,M/V ACCIDENT - PROPERTY DAMAGE,2009-07-20 20:27:00,"WASHINGTON ST & STRATHCONA RD
BOSTON  MA 02121
UNI"
222054456,LARCENY SHOPLIFTING,2009-07-20 19:40:00,CAMBRIDGE ST
222054455,M/V ACCIDENT - PROPERTY DAMAGE,2009-07-13 20:00:00,CONDOR ST
222054454,SICK ASSIST,2009-07-20 19:55:00,HAZELWOOD ST
222054453,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,2009-07-20 20:04:00,MALCOLM X BLVD
222054452,LARCENY SHOPLIFTING,2009-07-20 19:32:00,WESTLAND AVE
222047567,SICK ASSIST,2009-06-27 14:47:00,WASHINGTON STREET
222054451,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-20 19:47:00,"BABSON ST & NORFOLK ST
MATTAPAN  MA 02126
UNITED S"
222054448,VERBAL DISPUTE,2009-07-20 18:39:00,SENATOR BOLLING CIR
222054447,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",2009-07-06 00:00:00,VFW PKWY
222054446,VAL - VIOLATION OF AUTO LAW,2009-07-20 18:47:00,"SOUTHERN AVE & WHITFIELD ST
DORCHESTER  MA 02124
U"
222054445,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-20 19:16:00,BOYLSTON ST
222054444,ASSAULT - SIMPLE,2009-07-20 00:00:00,DEWEY ST
222054442,ROBBERY,2009-07-20 19:05:00,OLD COLONY AVE
222054441,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,2009-07-20 19:05:00,WILLIAM J DAY BLVD
222054440,M/V PLATES - LOST,2009-07-19 18:30:00,HARRISON AVE
222054439,TOWED MOTOR VEHICLE,2009-07-20 17:55:00,"WASHINGTON ST & OAK ST
BOSTON  MA 02111
UNITED STA"
222054438,PROPERTY - FOUND,2009-07-20 17:00:00,HARVARD AVE
222054437,SICK ASSIST,2009-07-20 18:52:00,DORCHESTER AVE
222054436,TOWED MOTOR VEHICLE,2009-07-20 18:34:00,DUNCAN ST
222054435,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2009-07-20 18:35:00,MCKINLEY SQ
222054434,VERBAL DISPUTE,2009-07-20 18:48:00,WESTERN AVE
222054433,ROBBERY,2009-07-20 18:42:00,COLUMBUS AVE
222054431,PROPERTY - ACCIDENTAL DAMAGE,2009-07-19 09:17:00,BLUE HILL AVENUE
222054430,ASSAULT - SIMPLE,2009-07-20 18:01:00,ALLEGHANY ST
222054428,M/V - LEAVING SCENE - PROPERTY DAMAGE,2009-07-20 18:20:00,ROCKVALE CIR
222054427,LARCENY THEFT FROM BUILDING,2009-07-19 22:00:00,FAIRLAWN AVE
